Disease,Description,Medication,Diet,workout,Precaution_1,Precaution_2,Precaution_3,Precaution_4,Symptoms,Information
Fungal infection,Fungal infection is a common skin condition caused by fungi.,"['Antifungal Cream', 'Fluconazole', 'Terbinafine', 'Clotrimazole', 'Ketoconazole']","['Antifungal Diet', 'Probiotics', 'Garlic', 'Coconut oil', 'Turmeric']",Avoid sugary foods,bath twice,use detol or neem in bathing water,keep infected area dry,use clean cloths,"Fungal infection, itching,  skin_rash,  nodal_skin_eruptions,  dischromic _patches","Disease: Fungal infection, Symptoms: Fungal infection, itching,  skin_rash,  nodal_skin_eruptions,  dischromic _patches, Medication: ['Antifungal Cream', 'Fluconazole', 'Terbinafine', 'Clotrimazole', 'Ketoconazole'], Diet: ['Antifungal Diet', 'Probiotics', 'Garlic', 'Coconut oil', 'Turmeric']"
Fungal infection,Fungal infection is a common skin condition caused by fungi.,"['Antifungal Cream', 'Fluconazole', 'Terbinafine', 'Clotrimazole', 'Ketoconazole']","['Antifungal Diet', 'Probiotics', 'Garlic', 'Coconut oil', 'Turmeric']",Consume probiotics,bath twice,use detol or neem in bathing water,keep infected area dry,use clean cloths,"Fungal infection,  skin_rash,  nodal_skin_eruptions,  dischromic _patches","Disease: Fungal infection, Symptoms: Fungal infection,  skin_rash,  nodal_skin_eruptions,  dischromic _patches, Medication: ['Antifungal Cream', 'Fluconazole', 'Terbinafine', 'Clotrimazole', 'Ketoconazole'], Diet: ['Antifungal Diet', 'Probiotics', 'Garlic', 'Coconut oil', 'Turmeric']"
Fungal infection,Fungal infection is a common skin condition caused by fungi.,"['Antifungal Cream', 'Fluconazole', 'Terbinafine', 'Clotrimazole', 'Ketoconazole']","['Antifungal Diet', 'Probiotics', 'Garlic', 'Coconut oil', 'Turmeric']",Increase intake of garlic,bath twice,use detol or neem in bathing water,keep infected area dry,use clean cloths,"Fungal infection, itching,  nodal_skin_eruptions,  dischromic _patches","Disease: Fungal infection, Symptoms: Fungal infection, itching,  nodal_skin_eruptions,  dischromic _patches, Medication: ['Antifungal Cream', 'Fluconazole', 'Terbinafine', 'Clotrimazole', 'Ketoconazole'], Diet: ['Antifungal Diet', 'Probiotics', 'Garlic', 'Coconut oil', 'Turmeric']"
Fungal infection,Fungal infection is a common skin condition caused by fungi.,"['Antifungal Cream', 'Fluconazole', 'Terbinafine', 'Clotrimazole', 'Ketoconazole']","['Antifungal Diet', 'Probiotics', 'Garlic', 'Coconut oil', 'Turmeric']",Include yogurt in diet,bath twice,use detol or neem in bathing water,keep infected area dry,use clean cloths,"Fungal infection, itching,  skin_rash,  dischromic _patches","Disease: Fungal infection, Symptoms: Fungal infection, itching,  skin_rash,  dischromic _patches, Medication: ['Antifungal Cream', 'Fluconazole', 'Terbinafine', 'Clotrimazole', 'Ketoconazole'], Diet: ['Antifungal Diet', 'Probiotics', 'Garlic', 'Coconut oil', 'Turmeric']"
Fungal infection,Fungal infection is a common skin condition caused by fungi.,"['Antifungal Cream', 'Fluconazole', 'Terbinafine', 'Clotrimazole', 'Ketoconazole']","['Antifungal Diet', 'Probiotics', 'Garlic', 'Coconut oil', 'Turmeric']",Limit processed foods,bath twice,use detol or neem in bathing water,keep infected area dry,use clean cloths,"Fungal infection, itching,  skin_rash,  nodal_skin_eruptions","Disease: Fungal infection, Symptoms: Fungal infection, itching,  skin_rash,  nodal_skin_eruptions, Medication: ['Antifungal Cream', 'Fluconazole', 'Terbinafine', 'Clotrimazole', 'Ketoconazole'], Diet: ['Antifungal Diet', 'Probiotics', 'Garlic', 'Coconut oil', 'Turmeric']"
Fungal infection,Fungal infection is a common skin condition caused by fungi.,"['Antifungal Cream', 'Fluconazole', 'Terbinafine', 'Clotrimazole', 'Ketoconazole']","['Antifungal Diet', 'Probiotics', 'Garlic', 'Coconut oil', 'Turmeric']",Stay hydrated,bath twice,use detol or neem in bathing water,keep infected area dry,use clean cloths,"Fungal infection,  skin_rash,  nodal_skin_eruptions,  dischromic _patches","Disease: Fungal infection, Symptoms: Fungal infection,  skin_rash,  nodal_skin_eruptions,  dischromic _patches, Medication: ['Antifungal Cream', 'Fluconazole', 'Terbinafine', 'Clotrimazole', 'Ketoconazole'], Diet: ['Antifungal Diet', 'Probiotics', 'Garlic', 'Coconut oil', 'Turmeric']"
Fungal infection,Fungal infection is a common skin condition caused by fungi.,"['Antifungal Cream', 'Fluconazole', 'Terbinafine', 'Clotrimazole', 'Ketoconazole']","['Antifungal Diet', 'Probiotics', 'Garlic', 'Coconut oil', 'Turmeric']",Consume green tea,bath twice,use detol or neem in bathing water,keep infected area dry,use clean cloths,"Fungal infection, itching,  nodal_skin_eruptions,  dischromic _patches","Disease: Fungal infection, Symptoms: Fungal infection, itching,  nodal_skin_eruptions,  dischromic _patches, Medication: ['Antifungal Cream', 'Fluconazole', 'Terbinafine', 'Clotrimazole', 'Ketoconazole'], Diet: ['Antifungal Diet', 'Probiotics', 'Garlic', 'Coconut oil', 'Turmeric']"
Fungal infection,Fungal infection is a common skin condition caused by fungi.,"['Antifungal Cream', 'Fluconazole', 'Terbinafine', 'Clotrimazole', 'Ketoconazole']","['Antifungal Diet', 'Probiotics', 'Garlic', 'Coconut oil', 'Turmeric']",Eat foods rich in zinc,bath twice,use detol or neem in bathing water,keep infected area dry,use clean cloths,"Fungal infection, itching,  skin_rash,  dischromic _patches","Disease: Fungal infection, Symptoms: Fungal infection, itching,  skin_rash,  dischromic _patches, Medication: ['Antifungal Cream', 'Fluconazole', 'Terbinafine', 'Clotrimazole', 'Ketoconazole'], Diet: ['Antifungal Diet', 'Probiotics', 'Garlic', 'Coconut oil', 'Turmeric']"
Fungal infection,Fungal infection is a common skin condition caused by fungi.,"['Antifungal Cream', 'Fluconazole', 'Terbinafine', 'Clotrimazole', 'Ketoconazole']","['Antifungal Diet', 'Probiotics', 'Garlic', 'Coconut oil', 'Turmeric']",Include turmeric in diet,bath twice,use detol or neem in bathing water,keep infected area dry,use clean cloths,"Fungal infection, itching,  skin_rash,  nodal_skin_eruptions","Disease: Fungal infection, Symptoms: Fungal infection, itching,  skin_rash,  nodal_skin_eruptions, Medication: ['Antifungal Cream', 'Fluconazole', 'Terbinafine', 'Clotrimazole', 'Ketoconazole'], Diet: ['Antifungal Diet', 'Probiotics', 'Garlic', 'Coconut oil', 'Turmeric']"
Fungal infection,Fungal infection is a common skin condition caused by fungi.,"['Antifungal Cream', 'Fluconazole', 'Terbinafine', 'Clotrimazole', 'Ketoconazole']","['Antifungal Diet', 'Probiotics', 'Garlic', 'Coconut oil', 'Turmeric']",Eat fruits and vegetables,bath twice,use detol or neem in bathing water,keep infected area dry,use clean cloths,"Fungal infection, itching,  skin_rash,  nodal_skin_eruptions,  dischromic _patches","Disease: Fungal infection, Symptoms: Fungal infection, itching,  skin_rash,  nodal_skin_eruptions,  dischromic _patches, Medication: ['Antifungal Cream', 'Fluconazole', 'Terbinafine', 'Clotrimazole', 'Ketoconazole'], Diet: ['Antifungal Diet', 'Probiotics', 'Garlic', 'Coconut oil', 'Turmeric']"
