Disease,Description,Medication,Diet,workout,Precaution_1,Precaution_2,Precaution_3,Precaution_4,Symptoms,Information
Nhiễm trùng nấm,Nhiễm nấm là một tình trạng da phổ biến do nấm.,"['Kem chống nấm', 'Fluconazole', 'Terbinafine', 'Clotrimazole', 'Ketoconazole']]]]]",.,Tránh thực phẩm có đường,tắm hai lần,Sử dụng detol hoặc neem trong nước tắm,Giữ cho khu vực bị nhiễm khô,Sử dụng vải sạch,"Nhiễm trùng nấm, ngứa, skin_rash, nodal_skin_eruptions, dischromic _patches","Bệnh: Nhiễm nấm, Triệu chứng: Nhiễm nấm, Ngứa, Skin_Rash, Nodal_Skin_eruptions, Dischromic _Patches, Thuốc: ['Kem chống nấm', 'Fluconazole', 'Terbinafine' ',' Probiotic ',' tỏi ',' dầu dừa ',' củ nghệ ']]]]]"
Nhiễm trùng nấm,Nhiễm nấm là một tình trạng da phổ biến do nấm.,"['Kem chống nấm', 'Fluconazole', 'Terbinafine', 'Clotrimazole', 'Ketoconazole']]]]]",.,Tiêu thụ men vi sinh,tắm hai lần,Sử dụng detol hoặc neem trong nước tắm,Giữ cho khu vực bị nhiễm khô,Sử dụng vải sạch,"Nhiễm trùng nấm, Skin_Rash, Nodal_Skin_eruptions, Dischromic _Patches","Bệnh: Nhiễm nấm, triệu chứng: Nhiễm nấm, Skin_Rash, Nodal_Skin_eruptions, Dischromic _Patches, Thuốc: ['Kem chống nấm', 'Fluconazole', 'Terbinafine', 'Clotrimazole', 'Ketoconazole 'Probiotic', 'tỏi', 'dầu dừa', 'củ nghệ']]]]"
Nhiễm trùng nấm,Nhiễm nấm là một tình trạng da phổ biến do nấm.,"['Kem chống nấm', 'Fluconazole', 'Terbinafine', 'Clotrimazole', 'Ketoconazole']]]]]",.,Tăng lượng tỏi,tắm hai lần,Sử dụng detol hoặc neem trong nước tắm,Giữ cho khu vực bị nhiễm khô,Sử dụng vải sạch,"Nhiễm trùng nấm, ngứa, Nodal_skin_eruptions, Dischromic _Patches","Bệnh: Nhiễm nấm, triệu chứng: Nhiễm trùng nấm, ngứa, Nodal_skin_eruptions, Dischromic _Patches, Thuốc: ['Kem chống nấm', 'Fluconazole', 'Terbinafine', 'Clotrimazole', ' 'Probiotic', 'tỏi', 'dầu dừa', 'củ nghệ']]]]"
Nhiễm trùng nấm,Nhiễm nấm là một tình trạng da phổ biến do nấm.,"['Kem chống nấm', 'Fluconazole', 'Terbinafine', 'Clotrimazole', 'Ketoconazole']]]]]",.,Bao gồm sữa chua trong chế độ ăn uống,tắm hai lần,Sử dụng detol hoặc neem trong nước tắm,Giữ cho khu vực bị nhiễm khô,Sử dụng vải sạch,"Nhiễm nấm, ngứa, da_rash, không đồng bộ","Bệnh: Nhiễm nấm, triệu chứng: Nhiễm nấm, ngứa, Skin_rash, Dischromic _Patches, Thuốc: ['Kem chống nấm', 'Fluconazole', 'Terbinafine', 'Clotrimazole', 'Ketoconazole' 'Probiotic', 'tỏi', 'dầu dừa', 'củ nghệ']]]]"
Nhiễm trùng nấm,Nhiễm nấm là một tình trạng da phổ biến do nấm.,"['Kem chống nấm', 'Fluconazole', 'Terbinafine', 'Clotrimazole', 'Ketoconazole']]]]]",.,Hạn chế thực phẩm chế biến,tắm hai lần,Sử dụng detol hoặc neem trong nước tắm,Giữ cho khu vực bị nhiễm khô,Sử dụng vải sạch,"Nhiễm nấm, ngứa, da_rash, Nodal_skin_eruptions","Bệnh: Nhiễm nấm, triệu chứng: Nhiễm nấm, ngứa, Skin_rash, Nodal_skin_eruptions, Thuốc: ['Kem chống nấm', 'Fluconazole', 'Terbinafine', 'Clotrimazole', 'Ketoconazole' Probiotic ',' tỏi ',' dầu dừa ',' củ nghệ ']]]]"
Nhiễm trùng nấm,Nhiễm nấm là một tình trạng da phổ biến do nấm.,"['Kem chống nấm', 'Fluconazole', 'Terbinafine', 'Clotrimazole', 'Ketoconazole']]]]]",.,Giữ nước,tắm hai lần,Sử dụng detol hoặc neem trong nước tắm,Giữ cho khu vực bị nhiễm khô,Sử dụng vải sạch,"Nhiễm trùng nấm, Skin_Rash, Nodal_Skin_eruptions, Dischromic _Patches","Bệnh: Nhiễm nấm, triệu chứng: Nhiễm nấm, Skin_Rash, Nodal_Skin_eruptions, Dischromic _Patches, Thuốc: ['Kem chống nấm', 'Fluconazole', 'Terbinafine', 'Clotrimazole', 'Ketoconazole 'Probiotic', 'tỏi', 'dầu dừa', 'củ nghệ']]]]"
Nhiễm trùng nấm,Nhiễm nấm là một tình trạng da phổ biến do nấm.,"['Kem chống nấm', 'Fluconazole', 'Terbinafine', 'Clotrimazole', 'Ketoconazole']]]]]",.,Tiêu thụ trà xanh,tắm hai lần,Sử dụng detol hoặc neem trong nước tắm,Giữ cho khu vực bị nhiễm khô,Sử dụng vải sạch,"Nhiễm trùng nấm, ngứa, Nodal_skin_eruptions, Dischromic _Patches","Bệnh: Nhiễm nấm, triệu chứng: Nhiễm trùng nấm, ngứa, Nodal_skin_eruptions, Dischromic _Patches, Thuốc: ['Kem chống nấm', 'Fluconazole', 'Terbinafine', 'Clotrimazole', ' 'Probiotic', 'tỏi', 'dầu dừa', 'củ nghệ']]]]"
Nhiễm trùng nấm,Nhiễm nấm là một tình trạng da phổ biến do nấm.,"['Kem chống nấm', 'Fluconazole', 'Terbinafine', 'Clotrimazole', 'Ketoconazole']]]]]",.,Ăn thực phẩm giàu kẽm,tắm hai lần,Sử dụng detol hoặc neem trong nước tắm,Giữ cho khu vực bị nhiễm khô,Sử dụng vải sạch,"Nhiễm nấm, ngứa, da_rash, không đồng bộ","Bệnh: Nhiễm nấm, triệu chứng: Nhiễm nấm, ngứa, Skin_rash, Dischromic _Patches, Thuốc: ['Kem chống nấm', 'Fluconazole', 'Terbinafine', 'Clotrimazole', 'Ketoconazole' 'Probiotic', 'tỏi', 'dầu dừa', 'củ nghệ']]]]"
Nhiễm trùng nấm,Nhiễm nấm là một tình trạng da phổ biến do nấm.,"['Kem chống nấm', 'Fluconazole', 'Terbinafine', 'Clotrimazole', 'Ketoconazole']]]]]",.,Bao gồm củ nghệ trong chế độ ăn uống,tắm hai lần,Sử dụng detol hoặc neem trong nước tắm,Giữ cho khu vực bị nhiễm khô,Sử dụng vải sạch,"Nhiễm nấm, ngứa, da_rash, Nodal_skin_eruptions","Bệnh: Nhiễm nấm, triệu chứng: Nhiễm nấm, ngứa, Skin_rash, Nodal_skin_eruptions, Thuốc: ['Kem chống nấm', 'Fluconazole', 'Terbinafine', 'Clotrimazole', 'Ketoconazole' Probiotic ',' tỏi ',' dầu dừa ',' củ nghệ ']]]]"
Nhiễm trùng nấm,Nhiễm nấm là một tình trạng da phổ biến do nấm.,"['Kem chống nấm', 'Fluconazole', 'Terbinafine', 'Clotrimazole', 'Ketoconazole']]]]]",.,Ăn trái cây và rau quả,tắm hai lần,Sử dụng detol hoặc neem trong nước tắm,Giữ cho khu vực bị nhiễm khô,Sử dụng vải sạch,"Nhiễm trùng nấm, ngứa, skin_rash, nodal_skin_eruptions, dischromic _patches","Bệnh: Nhiễm nấm, Triệu chứng: Nhiễm nấm, Ngứa, Skin_Rash, Nodal_Skin_eruptions, Dischromic _Patches, Thuốc: ['Kem chống nấm', 'Fluconazole', 'Terbinafine' ',' Probiotic ',' tỏi ',' dầu dừa ',' củ nghệ ']]]]]"
